index, name                                                   , type      , volume-mm3 
149 , ctx-lh-superiorfrontal_7                               , cortical  ,     2965.0 
150 , ctx-lh-superiorfrontal_8                               , cortical  ,     2411.0 
151 , ctx-lh-caudalmiddlefrontal_1                           , cortical  ,     2196.0 
152 , ctx-lh-caudalmiddlefrontal_2                           , cortical  ,     1575.0 
153 , ctx-lh-caudalmiddlefrontal_3                           , cortical  ,     4637.0 
154 , ctx-lh-precentral_1                                    , cortical  ,     2236.0 
155 , ctx-lh-precentral_2                                    , cortical  ,     2245.0 
156 , ctx-lh-precentral_3                                    , cortical  ,     2380.0 
157 , ctx-lh-precentral_4                                    , cortical  ,     3458.0 
158 , ctx-lh-precentral_5                                    , cortical  ,     2504.0 
159 , ctx-lh-precentral_6                                    , cortical  ,     3892.0 
160 , ctx-lh-paracentral_1                                   , cortical  ,     1501.0 
161 , ctx-lh-paracentral_2                                   , cortical  ,     1490.0 
162 , ctx-lh-paracentral_3                                   , cortical  ,     1214.0 
163 , ctx-lh-rostralanteriorcingulate_1                      , cortical  ,     3039.0 
164 , ctx-lh-caudalanteriorcingulate_1                       , cortical  ,     2071.0 
165 , ctx-lh-posteriorcingulate_1                            , cortical  ,     1724.0 
166 , ctx-lh-posteriorcingulate_2                            , cortical  ,     1916.0 
167 , ctx-lh-isthmuscingulate_1                              , cortical  ,     2795.0 
168 , ctx-lh-postcentral_1                                   , cortical  ,     1798.0 
169 , ctx-lh-postcentral_2                                   , cortical  ,     1943.0 
170 , ctx-lh-postcentral_3                                   , cortical  ,     2424.0 
171 , ctx-lh-postcentral_4                                   , cortical  ,     1290.0 
172 , ctx-lh-postcentral_5                                   , cortical  ,     3793.0 
173 , ctx-lh-supramarginal_1                                 , cortical  ,     1978.0 
174 , ctx-lh-supramarginal_2                                 , cortical  ,     4023.0 
175 , ctx-lh-supramarginal_3                                 , cortical  ,     4615.0 
176 , ctx-lh-supramarginal_4                                 , cortical  ,     2930.0 
177 , ctx-lh-superiorparietal_1                              , cortical  ,     2008.0 
178 , ctx-lh-superiorparietal_2                              , cortical  ,     2135.0 
179 , ctx-lh-superiorparietal_3                              , cortical  ,     2956.0 
180 , ctx-lh-superiorparietal_4                              , cortical  ,     1819.0 
181 , ctx-lh-superiorparietal_5                              , cortical  ,     1879.0 
182 , ctx-lh-superiorparietal_6                              , cortical  ,     1162.0 
